Row ,Feature ,Exponent ,Solar voltaic ,Solar Hot Water Heating 
1,Asthetic ,0.05,8,6
2,CO2 emission reduction/Sustainability Factor ,0.3,4,8
3,Accessibility ,0.05,5,5
4,Reliability ,0.25,3,4
5,Initial Capital Investment ,0.05,6,7
6,Incentives ,0.25,8,4
7,Emissions from materials,0.05,7,6
,,,,
,,,,
,,,,
,,,,
,,,,
